OrderID,Date,Sales Region,Product SKU,Units,Revenue ($)
ORD11235,2026-06-07, West,SKU-035,3,$37.28
ORD11236,2026-06-03,South,SKU-012,4,$291.98
ORD11237,2026-06-21,North ,SKU-009,2,$290.74
ORD11238,2026-06-07,East,SKU-004,9,"$1,136.83"
ORD11239,2026-06-19, South,SKU-035,7,$504.72
ORD11240,2026-06-07, North,SKU-008,10,"$1,131.20"
ORD11241,2026-06-01,north,SKU-034,3,$471.54
ORD11242,2026-06-24,NORTH,SKU-015,4,$639.85
ORD11243,2026-06-29, West,SKU-029,8,$307.79
ORD11244,2026-06-01, East,SKU-024,7,$328.02
ORD11245,2026-06-17,North,SKU-033,3,$30.00
ORD11246,2026-06-17,north,SKU-033,7,$928.59
ORD11247,2026-06-18,north,SKU-024,5,$199.85
ORD11248,2026-06-23,North ,SKU-026,5,$190.14
ORD11249,2026-06-15,North,SKU-013,11,$190.81
ORD11250,2026-06-12,East,SKU-006,2,$337.38
ORD11251,2026-06-03,West,SKU-040,6,$355.36
ORD11252,2026-06-14, West,SKU-003,1,$137.51
ORD11253,2026-06-25,West,SKU-022,7,$187.36
ORD11254,2026-06-10,East,SKU-003,2,$250.55
ORD11255,2026-06-24,South ,SKU-012,7,$590.79
ORD11256,2026-06-04,North,SKU-017,4,$72.38
ORD11257,2026-06-25,east,SKU-011,9,"$1,322.42"
ORD11258,2026-06-10,SOUTH,SKU-010,2,$359.55
ORD11259,2026-06-17,North,SKU-018,10,$758.07
ORD11260,2026-06-13,East,SKU-019,6,$591.71
ORD11261,2026-06-02,north,SKU-005,8,"$1,058.78"
ORD11262,2026-06-11,West ,SKU-031,1,$91.41
ORD11263,2026-06-25,SOUTH,SKU-025,7,$279.18
ORD11264,2026-06-30, East,SKU-029,3,$492.31
ORD11265,2026-06-19,West ,SKU-023,1,$123.08
ORD11266,2026-06-30,south,SKU-012,9,"$1,385.84"
ORD11267,2026-06-12,West ,SKU-016,4,$180.87
ORD11268,2026-06-25,south,SKU-024,4,$175.92
ORD11269,2026-06-03,EAST,SKU-005,8,$769.61
ORD11270,2026-06-26, West,SKU-040,9,"$1,352.62"
ORD11271,2026-06-09,WEST,SKU-001,11,$248.28
ORD11272,2026-06-29,East ,SKU-017,10,$967.29
ORD11273,2026-06-10,North,SKU-024,10,"$1,692.58"
ORD11274,2026-06-16,West ,SKU-027,5,$729.29
ORD11275,2026-06-27,south,SKU-013,8,$708.98
ORD11276,2026-06-16,west,SKU-039,11,"$1,438.49"
ORD11277,2026-06-28,west,SKU-011,2,$54.07
ORD11278,2026-06-08,NORTH,SKU-029,7,$257.67
ORD11279,2026-06-27, South,SKU-033,7,$730.41
ORD11280,2026-06-14, East,SKU-009,11,$676.69
ORD11281,2026-06-22,NORTH,SKU-008,7,$771.02
ORD11282,2026-06-29,NORTH,SKU-022,5,$850.05
ORD11283,2026-06-16,North,SKU-012,2,$262.42
ORD11284,2026-06-14,east,SKU-032,10,"$1,244.59"
ORD11285,2026-06-02,WEST,SKU-027,10,"$1,131.64"
ORD11286,2026-06-19,north,SKU-012,1,$113.62
ORD11287,2026-06-14,South ,SKU-005,3,$522.01
ORD11288,2026-06-11,north,SKU-026,5,$814.06
ORD11289,2026-06-26,north,SKU-002,1,$86.47
ORD11290,2026-06-05,West,SKU-006,7,$502.86
ORD11291,2026-06-21,WEST,SKU-004,2,$139.22
ORD11292,2026-06-26,SOUTH,SKU-035,11,$333.05
ORD11293,2026-06-12,South ,SKU-007,9,"$1,343.10"
ORD11294,2026-06-14, East,SKU-005,7,"$1,078.89"
ORD11295,2026-06-17,West,SKU-033,1,$88.30
ORD11296,2026-06-24,East,SKU-012,12,$510.85
ORD11297,2026-06-14,EAST,SKU-017,9,$158.07
ORD11298,2026-06-27,EAST,SKU-020,5,$263.27
ORD11299,2026-06-22, East,sku-014,6,$455.01
ORD11300,2026-06-29,EAST,SKU-010,10,$220.08
ORD11301,2026-06-16, North,SKU-012,3,$197.90
ORD11302,2026-06-16,SOUTH,SKU-010,11,$395.79
ORD11303,2026-06-02,North,SKU-025,12,$620.42
ORD11304,2026-06-24, South,sku-023,11,$746.24
ORD11305,2026-06-15,east,SKU-031,9,"$1,277.34"
ORD11306,2026-06-20,SOUTH,SKU-035,10,"$1,181.67"
ORD11307,2026-06-29,South,SKU-018,12,"$1,658.41"
ORD11308,2026-06-04,East ,SKU-025,5,$858.36
ORD11309,2026-06-06, North,SKU-021,1,$173.91
ORD11310,2026-06-18,North,SKU-006,10,$458.01
ORD11311,2026-06-10, South,SKU-009,2,$291.81
ORD11312,2026-06-27,east,SKU-013,7,"$1,049.29"
ORD11313,2026-06-08, West,SKU-031,5,$547.37
ORD11314,2026-06-29, West,sku-040,4,$77.49
ORD11315,2026-06-01,west,SKU-025,8,$229.55
ORD11316,2026-06-11,north,SKU-036,12,"$1,427.22"
ORD11317,2026-06-28,NORTH,SKU-034,4,$692.11
ORD11318,2026-06-08,South ,SKU-026,11,"$1,563.53"
ORD11319,2026-06-11,West,SKU-026,5,$725.27
ORD11320,2026-06-04, East,SKU-034,12,"$1,196.88"
ORD11321,2026-06-25,south,SKU-004,1,$140.32
ORD11322,2026-06-14,EAST,SKU-015,4,$63.20
ORD11323,2026-06-04,North,SKU-032,3,$83.49
ORD11324,2026-06-29,WEST,SKU-035,8,$967.66
ORD11325,2026-06-25,EAST,SKU-023,12,$812.44
ORD11326,2026-06-29,WEST,SKU-013,2,$266.70
ORD11327,2026-06-01,east,SKU-023,5,$403.90
ORD11328,2026-06-21,EAST,SKU-013,1,$144.50
ORD11329,2026-06-21,South ,SKU-014,10,"$1,625.65"
ORD11330,2026-06-05,East ,SKU-012,9,$920.17
ORD11331,2026-06-20,North,SKU-004,2,$164.96
ORD11332,2026-06-04,North ,SKU-039,12,"$2,158.64"
ORD11333,2026-06-15, West,SKU-038,11,$269.42
ORD11334,2026-06-10,North,SKU-013,5,$332.76
ORD11335,2026-06-03, West,SKU-019,2,$334.56
ORD11336,2026-06-30,NORTH,SKU-015,9,"$1,393.15"
ORD11337,2026-06-04, West,SKU-021,9,"$1,470.30"
ORD11338,2026-06-17, East,SKU-018,4,$597.44
ORD11339,2026-06-30,North ,SKU-008,12,$177.83
ORD11340,2026-06-15, South,SKU-037,7,"$1,049.77"
ORD11341,2026-06-03, North,SKU-035,10,$933.55
ORD11342,2026-06-22,North,SKU-001,8,$391.50
ORD11343,2026-06-14,east,SKU-027,2,$274.10
ORD11344,2026-06-10,North ,SKU-018,11,"$1,902.18"
ORD11345,2026-06-24,WEST,SKU-001,6,$542.87
ORD11346,2026-06-25,South,SKU-032,4,$346.71
ORD11347,2026-06-05, North,SKU-020,5,$696.86
ORD11348,2026-06-05,east,SKU-018,6,$249.25
ORD11349,2026-06-19,NORTH,SKU-017,12,$916.85
ORD11350,2026-06-21,North ,SKU-030,8,$708.47
ORD11351,2026-06-10,North ,SKU-031,8,"$1,210.67"
ORD11352,2026-06-07,SOUTH,SKU-018,1,$32.31
ORD11353,2026-06-24,NORTH,SKU-011,10,$342.57
ORD11354,2026-06-27,South ,SKU-007,7,$706.54
ORD11355,2026-06-29,East ,SKU-027,8,$258.15
ORD11356,2026-06-16,South,SKU-031,10,"$1,148.87"
ORD11357,2026-06-30,EAST,SKU-001,11,$309.49
ORD11358,2026-06-16,east,SKU-017,12,"$1,993.47"
ORD11359,2026-06-23,east,SKU-040,4,$131.66
ORD11360,2026-06-26,North ,SKU-023,7,$711.87
ORD11361,2026-06-07,East ,SKU-031,11,"$1,480.63"
ORD11362,2026-06-19,North ,sku-019,6,$454.95
ORD11363,2026-06-14, South,SKU-029,3,$274.95
ORD11364,2026-06-02,South,SKU-026,3,$49.56
ORD11365,2026-06-30,SOUTH,SKU-027,1,$96.84
ORD11366,2026-06-15,South ,SKU-016,8,$724.91
ORD11367,2026-06-18, North,SKU-039,2,$325.82
ORD11368,2026-06-16, East,SKU-013,4,$430.49
ORD11369,2026-06-13,WEST,SKU-013,5,$632.96
ORD11370,2026-06-23,east,SKU-038,6,$72.54
ORD11371,2026-06-12,north,SKU-001,3,$191.99
ORD11372,2026-06-21,NORTH,SKU-014,4,$57.24
ORD11373,2026-06-17,WEST,SKU-004,8,$690.93
ORD11374,2026-06-26, East,SKU-035,11,$714.43
ORD11375,2026-06-19,East ,SKU-012,1,$164.75
ORD11376,2026-06-30,West ,SKU-015,12,"$2,080.53"
ORD11377,2026-06-11,North,SKU-040,7,"$1,232.66"
ORD11378,2026-06-05, South,SKU-023,7,$504.91
ORD11379,2026-06-06,North,SKU-038,5,$84.22
ORD11380,2026-06-30,North ,SKU-030,6,$361.49
ORD11381,2026-06-10,South ,SKU-029,1,$32.38
ORD11382,2026-06-22,north,SKU-004,7,"$1,235.90"
ORD11383,2026-06-13,NORTH,SKU-017,6,$921.07
ORD11384,2026-06-22, West,SKU-036,10,$587.48
ORD11385,2026-06-16, West,SKU-012,5,$624.25
ORD11386,2026-06-13,SOUTH,SKU-017,8,$560.09
ORD11387,2026-06-04,east,SKU-004,5,$63.37
ORD11388,2026-06-26,South,SKU-026,4,$110.01
ORD11389,2026-06-01,East ,SKU-003,4,$142.05
ORD11390,2026-06-05,NORTH,SKU-014,8,"$1,316.04"
ORD11391,2026-06-17,West ,SKU-036,3,$170.78
ORD11392,2026-06-09,EAST,SKU-034,5,$253.48
ORD11393,2026-06-12,South ,sku-022,7,$594.26
ORD11394,2026-06-22,east,SKU-035,1,$95.92
ORD11395,2026-06-05,west,SKU-020,2,$161.86
ORD11396,2026-06-06,North,SKU-017,7,$959.83
ORD11397,2026-06-14,East,SKU-023,1,$119.68
ORD11398,2026-06-25,north,SKU-021,7,$158.28
ORD11399,2026-06-23,North,SKU-023,9,$448.00
ORD11400,2026-06-18,North,SKU-034,1,$118.79
ORD11401,2026-06-03, South,SKU-007,3,$129.46
ORD11402,2026-06-15,South ,SKU-030,1,$154.30
ORD11403,2026-06-22,West,SKU-017,9,$799.21
ORD11404,2026-06-02,East ,SKU-040,5,$692.57
ORD11405,2026-06-26,East ,SKU-036,4,$209.00
ORD11406,2026-06-11,NORTH,SKU-013,12,"$2,112.24"
ORD11407,2026-06-21,West,sku-009,2,$158.96
ORD11408,2026-06-06,West,SKU-039,5,$492.13
ORD11409,2026-06-13,South ,SKU-018,7,"$1,093.10"
ORD11410,2026-06-07,north,SKU-033,12,"$1,228.65"
ORD11411,2026-06-12, East,SKU-028,5,$437.79
ORD11412,2026-06-14,South ,SKU-018,12,"$1,337.55"

Total: 245 orders,,,,,
Generated by LegacySalesSystem v2.3,,,,,
