order_id,order_date,region,sku,quantity,amount
ORD11026,04-May-26,East,SKU-014,12,$665.70
ORD11027,13-May-26, West,SKU-023,6,"$1,040.78"
ORD11028,27-May-26,SOUTH,sku-026,8,$613.92
ORD11029,27-May-26,east,SKU-034,4,$132.52
ORD11030,13-May-26,West ,SKU-019,9,$587.30
ORD11031,02-May-26,East,SKU-021,3,$513.10
ORD11032,28-May-26,WEST,SKU-005,1,$24.67
ORD11033,13-May-26,West,SKU-017,4,$72.83
ORD11034,01-May-26,West,SKU-009,12,$445.03
ORD11035,22-May-26,WEST,SKU-022,7,$530.73
ORD11036,03-May-26,North,SKU-006,7,$970.46
ORD11037,30-May-26,west,SKU-032,10,$443.75
ORD11038,24-May-26,SOUTH,SKU-038,5,$756.20
ORD11039,02-May-26,West,SKU-010,2,$358.75
ORD11040,09-May-26,South ,SKU-040,11,$898.33
ORD11041,25-May-26,EAST,SKU-022,6,$240.87
ORD11042,29-May-26,west,SKU-032,5,$689.93
ORD11043,14-May-26,east,SKU-028,3,$334.35
ORD11044,30-May-26, East,SKU-024,11,"$1,333.66"
ORD11045,28-May-26,East,SKU-006,8,$82.59
ORD11046,18-May-26,North ,SKU-001,12,"$1,227.63"
ORD11047,23-May-26, South,SKU-006,7,"$1,057.67"
ORD11048,20-May-26,East,SKU-009,11,"$1,934.07"
ORD11049,22-May-26,North,SKU-007,8,"$1,219.94"
ORD11050,08-May-26, East,SKU-016,9,"$1,337.71"
ORD11051,05-May-26,WEST,SKU-025,12,"$1,744.45"
ORD11052,01-May-26,West,SKU-005,8,$335.51
ORD11053,08-May-26,West,SKU-004,8,"$1,236.62"
ORD11054,26-May-26,NORTH,SKU-020,6,$401.70
ORD11055,17-May-26,South ,SKU-024,4,$384.26
ORD11056,06-May-26,EAST,SKU-037,10,"$1,573.56"
ORD11057,08-May-26,West ,SKU-030,1,$77.36
ORD11058,07-May-26,South ,SKU-033,3,$321.91
ORD11059,14-May-26,South ,SKU-034,7,"$1,211.51"
ORD11060,24-May-26,SOUTH,SKU-013,11,"$1,545.55"
ORD11061,07-May-26,NORTH,SKU-038,4,$136.58
ORD11062,20-May-26,East ,SKU-018,6,"$1,016.44"
ORD11063,03-May-26,East,SKU-003,1,$158.03
ORD11064,25-May-26,South ,SKU-014,12,"$1,520.60"
ORD11065,15-May-26,West ,SKU-008,9,$170.41
ORD11066,20-May-26, North,SKU-035,6,$624.44
ORD11067,02-May-26,SOUTH,SKU-002,9,"$1,125.18"
ORD11068,29-May-26,East ,SKU-003,7,$471.01
ORD11069,31-May-26, East,SKU-009,7,"$1,171.53"
ORD11070,25-May-26,North ,SKU-020,10,$426.25
ORD11071,18-May-26,West ,SKU-035,12,$331.24
ORD11072,05-May-26,West ,SKU-016,1,$73.15
ORD11073,04-May-26,WEST,SKU-028,2,$106.01
ORD11074,03-May-26,South ,SKU-006,6,$383.08
ORD11075,22-May-26,West ,SKU-012,6,$540.16
ORD11076,21-May-26,north,SKU-024,9,"$1,131.54"
ORD11077,06-May-26,SOUTH,SKU-002,5,$334.60
ORD11078,18-May-26, West,SKU-001,1,$134.94
ORD11079,25-May-26,NORTH,SKU-006,6,$625.48
ORD11080,27-May-26,WEST,SKU-018,5,$402.83
ORD11081,22-May-26,West ,SKU-030,12,$349.09
ORD11082,10-May-26,East ,SKU-006,2,$277.72
ORD11083,10-May-26,East ,SKU-018,12,"$1,280.80"
ORD11084,03-May-26, West,SKU-017,11,"$1,173.53"
ORD11085,25-May-26,North ,SKU-035,8,$261.11
ORD11086,13-May-26, East,SKU-037,10,"$1,106.06"
ORD11087,24-May-26,EAST,SKU-033,5,$702.38
ORD11088,16-May-26,east,SKU-003,7,$940.63
ORD11089,26-May-26, North,SKU-011,12,"$1,902.74"
ORD11090,31-May-26,east,SKU-011,1,$20.01
ORD11091,08-May-26, West,SKU-024,3,$237.36
ORD11092,26-May-26,East ,SKU-003,5,$582.29
ORD11093,08-May-26, West,SKU-001,1,$26.60
ORD11094,17-May-26,South,SKU-007,11,"$1,817.74"
ORD11095,01-May-26,NORTH,SKU-010,8,$589.20
ORD11096,15-May-26,North,SKU-026,9,$884.09
ORD11097,23-May-26,SOUTH,SKU-022,3,$158.82
ORD11098,02-May-26,North ,SKU-002,9,$523.62
ORD11099,19-May-26, North,SKU-018,10,"$1,317.78"
ORD11100,03-May-26,North ,SKU-008,4,$288.86
ORD11101,25-May-26,West,SKU-040,11,"$1,102.71"
ORD11102,06-May-26,west,SKU-018,6,$509.91
ORD11103,25-May-26,NORTH,SKU-035,4,$217.38
ORD11104,21-May-26,West,SKU-004,6,$379.20
ORD11105,18-May-26,South,SKU-029,3,$292.09
ORD11106,21-May-26,South,SKU-032,11,"$1,406.67"
ORD11107,08-May-26, West,SKU-014,3,$72.28
ORD11108,12-May-26,south,SKU-025,5,$426.02
ORD11109,05-May-26,West ,SKU-013,4,$332.34
ORD11110,11-May-26,east,SKU-037,3,$432.66
ORD11111,28-May-26, North,SKU-022,5,$870.05
ORD11112,26-May-26, South,SKU-039,4,$290.31
ORD11113,02-May-26, West,SKU-037,10,"$1,679.85"
ORD11114,07-May-26,EAST,SKU-039,11,"$1,078.34"
ORD11115,26-May-26,West ,SKU-009,5,$93.18
ORD11116,14-May-26,East ,SKU-008,2,$64.18
ORD11117,19-May-26, South,SKU-024,2,$282.22
ORD11118,19-May-26, North,SKU-016,2,$179.36
ORD11119,10-May-26, South,SKU-039,8,"$1,156.68"
ORD11120,11-May-26,WEST,SKU-035,8,$747.92
ORD11121,10-May-26,south,SKU-040,8,$96.09
ORD11122,14-May-26, East,SKU-023,11,$414.79
ORD11123,24-May-26,NORTH,SKU-027,8,$357.32
ORD11124,04-May-26, East,SKU-039,6,$196.57
ORD11125,17-May-26,south,SKU-036,8,"$1,043.67"
ORD11126,30-May-26,South ,SKU-030,11,$853.54
ORD11127,18-May-26,west,SKU-028,4,$136.47
ORD11128,27-May-26,SOUTH,SKU-005,7,$202.21
ORD11129,23-May-26,east,SKU-033,5,$837.02
ORD11130,29-May-26,NORTH,SKU-028,11,"$1,811.47"
ORD11131,16-May-26,West ,SKU-026,1,$159.01
ORD11132,05-May-26,West,SKU-014,6,$255.53
ORD11133,27-May-26, East,SKU-031,2,$340.69
ORD11134,12-May-26,South ,SKU-028,1,$97.79
ORD11135,01-May-26,South ,SKU-014,3,$323.32
ORD11136,12-May-26,NORTH,SKU-022,9,$817.41
ORD11137,12-May-26,SOUTH,sku-039,3,$65.24
ORD11138,15-May-26,north,SKU-022,3,$486.43
ORD11139,15-May-26, South,SKU-015,12,$130.01
ORD11140,29-May-26,EAST,SKU-029,9,$314.28
ORD11141,07-May-26,South ,SKU-006,8,"$1,266.67"
ORD11142,17-May-26,North,SKU-009,12,$248.34
ORD11143,09-May-26, North,SKU-008,9,"$1,122.59"
ORD11144,07-May-26, South,SKU-040,10,"$1,337.98"
ORD11145,01-May-26,NORTH,SKU-032,6,$672.71
ORD11146,08-May-26,West,SKU-023,5,$435.14
ORD11147,10-May-26, North,SKU-016,9,$920.89
ORD11148,03-May-26,NORTH,SKU-023,9,$583.95
ORD11149,04-May-26, North,SKU-003,9,$871.80
ORD11150,06-May-26,WEST,sku-028,12,$320.94
ORD11151,29-May-26,North,SKU-037,3,$65.47
ORD11152,04-May-26,NORTH,SKU-028,12,"$1,567.47"
ORD11153,05-May-26,west,sku-026,4,$198.05
ORD11154,02-May-26,EAST,SKU-034,9,$176.70
ORD11155,06-May-26,EAST,SKU-033,8,"$1,346.96"
ORD11156,04-May-26,WEST,SKU-016,11,"$1,706.72"
ORD11157,22-May-26,West ,SKU-007,6,$925.99
ORD11158,26-May-26,North,SKU-005,5,$217.40
ORD11159,26-May-26,east,SKU-025,11,"$1,772.66"
ORD11160,08-May-26,EAST,SKU-040,9,$260.31
ORD11161,03-May-26, East,SKU-007,5,$419.89
ORD11162,12-May-26, East,SKU-034,1,$108.10
ORD11163,23-May-26,EAST,SKU-037,8,"$1,345.96"
ORD11164,29-May-26, West,SKU-015,4,$583.10
ORD11165,22-May-26,South,SKU-020,11,"$1,228.14"
ORD11166,03-May-26, East,sku-021,10,$864.06
ORD11167,07-May-26,South,SKU-021,9,$862.94

Total: 233 orders,,,,,
Generated by LegacySalesSystem v2.3,,,,,
