Order ID,Order Date,Region,SKU,Qty,Sale Amount
ORD10178,01/26/2026,West,SKU-026,11,$450.36
ORD10179,01/07/2026,WEST,SKU-039,6,$757.59
ORD10180,01/24/2026,South ,SKU-030,1,$103.66
ORD10181,01/19/2026, North,SKU-022,5,$329.29
ORD10182,01/29/2026,South,SKU-038,6,$764.88
ORD10183,01/13/2026,SOUTH,SKU-002,8,$431.51
ORD10184,01/20/2026,NORTH,SKU-010,4,$285.19

Total: 184 orders,,,,,
Generated by LegacySalesSystem v2.3,,,,,
